id,name,type,cuisine,phone,website,capacity,stars,meta_name_com,meta_code_com,meta_name_dep,meta_code_dep,meta_geo_point
1102,L'Epoque,pub,,,,,,Loudéac,22136,Côtes-d'Armor,22,"48.1726005279717, -2.75222552489146"
1117,Le Bistro du Marin,restaurant,regional,,,,,Plérin,22187,Côtes-d'Armor,22,"48.5296729559246, -2.73023325498286"
1159,Chez Max,restaurant,french,+33229401020,https://www.bouillon-chezmax.fr/,,,Quimper,29232,Finistère,29,"47.995093779343, -4.10344472667032"
1163,Cap Ô Saveurs,restaurant,,,,,,Cesson-Sévigné,35051,Ille-et-Vilaine,35,"48.1145578601518, -1.62176855362048"
1178,Le Petit St Lu,restaurant,coffee_shop,+33 6 70 65 90 10,,,,Saint-Lunaire,35287,Ille-et-Vilaine,35,"48.6364549657749, -2.10789362433673"
1247,Maharaja,restaurant,indian,,,,,Lorient,56121,Morbihan,56,"47.7502508439317, -3.3623971467006"
1255,L'Eden,restaurant,regional,,https://www.hoteldelapaix-brest.com,,,Brest,29019,Finistère,29,"48.3905993288223, -4.49039905853203"
1272,La grange de Toul-boss,restaurant,,+33 2 98 26 02 60,https://www.restaurant-creperie-crozon.fr,,,Crozon,29042,Finistère,29,"48.2251683880957, -4.50476773604723"
1292,La Villa,restaurant,,,,,,Cancale,35049,Ille-et-Vilaine,35,"48.6705317607649, -1.85632773202812"
1293,Le Bistro de la Marine,restaurant,,,,,,Cancale,35049,Ille-et-Vilaine,35,"48.6708204335102, -1.85568391804534"
1305,La Moule qui Saoule,restaurant,,,,,,Guidel,56078,Morbihan,56,"47.7668579925084, -3.52490825145674"
1311,Le Bistrot du Bac,restaurant,seafood,,https://www.hoteldubac.fr/bistrot-sainte-marine,,,Combrit,29037,Finistère,29,"47.8738558363655, -4.11924075847693"
1312,Le Vauban,restaurant,french,,,,,Concarneau,29039,Finistère,29,"47.872093038309, -3.91534492881093"
1315,Le Kaludi,restaurant,"crepe,regional",,,,,Confort-Meilars,29145,Finistère,29,"48.0505264901526, -4.42831907941061"
1368,Café de la plage,restaurant,,+33 2 23 16 33 04,,,,Dinard,35093,Ille-et-Vilaine,35,"48.6364061830984, -2.06781262064646"
1371,Ar Café,cafe,,,,,,Camaret-sur-Mer,29022,Finistère,29,"48.2787392267534, -4.59751693124247"
1379,V&B,bar,,,,,,Loudéac,22136,Côtes-d'Armor,22,"48.1926937938973, -2.76309450637461"
1385,L'Armoricain,restaurant,"french,seafood",,,,,Pénestin,56155,Morbihan,56,"47.4830414704543, -2.47115466285982"
1396,Le Marchois,bar,,,,,,Le Vieux-Marché,22387,Côtes-d'Armor,22,"48.6075898705402, -3.44972241235226"
1419,Bistrot Le 34,restaurant,french,,https://www.escale-marine.bzh/bistrot-le-34,,,Crozon,29042,Finistère,29,"48.2247186989904, -4.50633624158809"
1438,Nectar'In,fast_food,,,https://nectar-in.fr/,,,Brest,29019,Finistère,29,"48.387154450437, -4.49103164076453"
1471,Cafétéria Croc'Us,restaurant,,,,,,Plancoët,22172,Côtes-d'Armor,22,"48.5255507359439, -2.24044261037076"
1561,A l'Abri de la Tempête,restaurant,thai,+33 2 98 96 07 49,,,,Rédené,29234,Finistère,29,"47.8626857769203, -3.50490802465634"
1568,La Calèche,restaurant,crepe,+33 2 96 80 01 07,,,,Broons,22020,Côtes-d'Armor,22,"48.3173732624988, -2.26125772579769"
1573,Le Commerce,bar,,,,,,Muzillac,56143,Morbihan,56,"47.5538073643773, -2.48219354552029"
1576,L'Instant Tannique,cafe,,,http://www.linstant-tannique.fr/,,,Muzillac,56143,Morbihan,56,"47.5540888286859, -2.48148024556025"
1581,Crêperie Saint-Corentin,restaurant,crepe,+33 9 83002948,,,,Quimper,29232,Finistère,29,"47.9967980717152, -4.10296452743751"
1647,La Bavolette,restaurant,french,,,,,Carnac,56034,Morbihan,56,"47.5729085482433, -3.07462730001461"
1652,Les Brassins de Saint-Malo,bar,,,,,,Saint-Malo,35288,Ille-et-Vilaine,35,"48.6510101406357, -2.02458764889485"
1658,Crêperie Ty-Glaz,restaurant,regional,,https://www.creperiety-glaz.com/,,,Châteaulin,29026,Finistère,29,"48.1919080742938, -4.10986166028286"
1740,La Réserve,restaurant,french,+33 2 99 84 02 02,https://restaurant-lareserve-rennes.fr/,,,Rennes,35238,Ille-et-Vilaine,35,"48.1139417902686, -1.6781741519315"
1815,Le Skellig,restaurant,,,,,,Vannes,56260,Morbihan,56,"47.6693457808349, -2.78995934423605"
1832,Bistro de Rosbras,bar,,,,,,Riec-sur-Bélon,29236,Finistère,29,"47.8209260456625, -3.74434991311964"
1850,Le Marina,restaurant,pizza,,,,,Plestin-les-Grèves,22194,Côtes-d'Armor,22,"48.6685071958724, -3.61716065125088"
1851,La croix rouge,restaurant,regional,,,,,Ploumilliau,22226,Côtes-d'Armor,22,"48.7005137445976, -3.52188112712562"
1852,Le Petit Saint-Michel,bar,,+33 2 96 35 74 48,,,,Saint-Michel-en-Grève,22319,Côtes-d'Armor,22,"48.6845048962693, -3.56696780339112"
1857,Wagon-lit,bar,,,,,,Quimperlé,29233,Finistère,29,"47.8731636588014, -3.54543603524286"
1862,Prestige döner,fast_food,turkish,+33 2 97 66 42 32,http://prestigedoner.fr,,,Séné,56243,Morbihan,56,"47.6190490811948, -2.7347345046251"
1878,Taratata,restaurant,,,,,,Dinard,35093,Ille-et-Vilaine,35,"48.6351006178601, -2.05284002700762"
1880,La Main à la Pâte,restaurant,crepe,,,,,Saint-Cast-le-Guildo,22282,Côtes-d'Armor,22,"48.6346450614227, -2.25717221855285"
1912,Surfin Pizza,fast_food,pizza,,http://www.surfinpizza.fr/,,,Plouharnel,56168,Morbihan,56,"47.5990927755671, -3.11446296539899"
1917,Crêperie Ty Coz,restaurant,crepe,+33 2 98 91 70 79,https://www.creperietycoz.fr/,,,Locronan,29134,Finistère,29,"48.098291184482, -4.20858648188857"
1924,La Crêperie de la Plage,restaurant,,,,,,Plougonvelin,29190,Finistère,29,"48.3459391237903, -4.70479925689318"
1934,Le Kenavo,restaurant,,,,,,Trébeurden,22343,Côtes-d'Armor,22,"48.7684107645214, -3.58222345390013"
1962,Le Jardin des Saveurs,restaurant,french,,,,,Locminé,56117,Morbihan,56,"47.8895926919357, -2.8381369311158"
1987,Café du Château,bar,,,,,,Dinan,22050,Côtes-d'Armor,22,"48.4503380747493, -2.04397943334388"
2016,La Ritournelle,bar,,,,,,Guignen,35127,Ille-et-Vilaine,35,"47.9201959424315, -1.86006463591997"
2027,Le Ker Opus,pub,,,,,,Langolen,29110,Finistère,29,"48.0665325724528, -3.9127821619156"
2033,L'Océan,bar,,,,,,Landunvez,29109,Finistère,29,"48.5220398919807, -4.75794597125031"
2070,La Cidrière,restaurant,crepe,,,,,Gévezé,35120,Ille-et-Vilaine,35,"48.2214102779888, -1.79209796238075"
2083,Le Cabanon,restaurant,,,https://m.facebook.com/chauvelthomas/,,,Saint-Cast-le-Guildo,22282,Côtes-d'Armor,22,"48.6353761310175, -2.2728048032476"
2125,Le café d'en haut,restaurant,french,+33 2 96 27 76 47,,,,Saint-Jacut-de-la-Mer,22302,Côtes-d'Armor,22,"48.5988757925439, -2.19119163697061"
2182,Petit café de Saint-Herbot,cafe,,,,,,Loqueffret,29141,Finistère,29,"48.3278626275872, -3.80930932743826"
2200,Gusto Pizza,restaurant,italian,+33 2 99 01 70 16,https://www.gusto-pizza.com/,,,Rennes,35238,Ille-et-Vilaine,35,"48.1071942743949, -1.67179384723582"
2215,L'excellent,bar,,,,,,Lannion,22113,Côtes-d'Armor,22,"48.7324670682376, -3.4620002241208"
2254,Térénez Café,restaurant,,,,,,Rosnoën,29240,Finistère,29,"48.2703981434483, -4.26120102921323"
2278,Le Moulin Vert,restaurant,crepe,,http://lemoulinvert.chez-alice.fr/,,,Saint-Malo,35288,Ille-et-Vilaine,35,"48.6487626171188, -2.02427810521064"
2283,La Godille,restaurant,pizza,,,,,Groix,56069,Morbihan,56,"47.6397445868634, -3.45380171698872"
2284,Crêperie L'Epi d'Or,restaurant,regional,,,,,Audierne,29003,Finistère,29,"48.0219327171236, -4.53830892742442"
2285,O-Délices,fast_food,"kebab,pizza,sandwich",+33 2 99 65 27 12,https://m2lstjacques.wixsite.com/my-site,,,Saint-Jacques-de-la-Lande,35281,Ille-et-Vilaine,35,"48.0815133803567, -1.71355810472139"
2295,NBK La naanerie,fast_food,"burger,kebab",,,,,Rennes,35238,Ille-et-Vilaine,35,"48.0985813659699, -1.69430587896022"
2296,La Rennes du Bal,bar,,,https://larennesdubal.fr/,,,Rennes,35238,Ille-et-Vilaine,35,"48.0991695241156, -1.68141283549872"
2317,Le Pic à Bulot,restaurant,,+33 6 67 45 94 83,,,,Dinard,35093,Ille-et-Vilaine,35,"48.6358039433554, -2.06785654181908"
2332,Pizza Rhuys,fast_food,,+33 2 97 43 73 49,https://www.pizza-rhuys.com/,,,Séné,56243,Morbihan,56,"47.6519294433258, -2.72143795634483"
2333,Le Skipper,bar,,,,,,Dinard,35093,Ille-et-Vilaine,35,"48.6335872652422, -2.05656762698695"
2355,Au Diable Vos Verres,cafe,,,,,,Guingamp,22070,Côtes-d'Armor,22,"48.5600331312285, -3.14854864520635"
2365,Le Camas,cafe,,,,,,Ploemeur,56162,Morbihan,56,"47.7347478434601, -3.42902740959781"
2368,BRKLYN,restaurant,,,,,,Lorient,56121,Morbihan,56,"47.747964260746, -3.35881388309392"
2402,Le Comptoir à Pizz’,fast_food,pizza,,,,,Logonna-Daoulas,29137,Finistère,29,"48.3232255911136, -4.29725243295283"
2408,Le Bahia,fast_food,,,,,,Perros-Guirec,22168,Côtes-d'Armor,22,"48.8156000411979, -3.45785470244925"
2415,Ar Men Du,restaurant,,,,,,Névez,29153,Finistère,29,"47.788910779758, -3.79988035692028"
2416,L'île verte,restaurant,crepe,,,,,Névez,29153,Finistère,29,"47.7953444771769, -3.7770347254496"
2451,Izzo,restaurant,italian,,,,,Brest,29019,Finistère,29,"48.385097028484, -4.49363858028957"
2478,Tio Paquito,bar,,,,,,Rennes,35238,Ille-et-Vilaine,35,"48.1130434178864, -1.68115274504325"
2490,Les Trois Dauphins,bar,,,,,,Île-de-Sein,29083,Finistère,29,"48.0366263610248, -4.85041705489826"
2500,Au P'tit Bar,cafe,,,,,,Locmariaquer,56116,Morbihan,56,"47.5697069965071, -2.94558597282062"
2502,Will's Kebab,fast_food,kebab,+33297235425,,,,Gourin,56066,Morbihan,56,"48.1409233880412, -3.60308936366027"
2523,La Gouesnière,restaurant,,,https://www.domaine-du-limonay.com/fr/restaurant/la-gouesniere/,,,Saint-Méloir-des-Ondes,35299,Ille-et-Vilaine,35,"48.6151656860855, -1.90548541484594"
2526,Les Iles,fast_food,,,,,,Rennes,35238,Ille-et-Vilaine,35,"48.1044073754087, -1.68112148054439"
2528,Le Bronco,cafe,,,,,,Pont-Scorff,56179,Morbihan,56,"47.8357374553032, -3.39904425229872"
2553,Le Cobh,restaurant,french,,https://www.hotel-lecobh.com/,,,Ploërmel,56165,Morbihan,56,"47.931406486469, -2.3961689836031"
2554,Beurre Salé,restaurant,crepe,+33229627529,,,,Brest,29019,Finistère,29,"48.3855294508687, -4.49260182268603"
2596,Bar des Sports,bar,,,,,,Montgermont,35189,Ille-et-Vilaine,35,"48.155298771079, -1.71583043867173"
2620,Bar de la Plage,cafe,ice_cream,,,,,Groix,56069,Morbihan,56,"47.6284695859905, -3.43612202008194"
2719,City Food,fast_food,"kebab,burger",,,,,Rennes,35238,Ille-et-Vilaine,35,"48.1050401252793, -1.67888510495868"
2771,Au vieux Vannes,restaurant,crepe,+33 2 97 47 12 62,,,,Vannes,56260,Morbihan,56,"47.6583222370572, -2.75881814319453"
2794,l'embarcadère,restaurant,,,https://www.guerledan.fr,,,Caurel,22033,Côtes-d'Armor,22,"48.2059679624961, -3.04848447929254"
2802,L'îlot saveur,restaurant,"french,asian",+33298900784,,,,Quimper,29232,Finistère,29,"47.9940961652272, -4.09331025136225"
2803,Bunchy City,fast_food,sandwich,,,,,Douarnenez,29046,Finistère,29,"48.0931660697866, -4.32853755127184"
2804,La Pidz',fast_food,pizza,+33 2 98 92 94 96,,,,Douarnenez,29046,Finistère,29,"48.0929515768844, -4.32917893450269"
2810,Buro Butun,bar,,+33 2 97 23 82 65,,,,Langonnet,56100,Morbihan,56,"48.1046821341947, -3.4919720658506"
2828,IZEE Aéropôle,fast_food,,+33 2 98 04 70 34,https://www.izee.bzh/,,,Guipavas,29075,Finistère,29,"48.4430644268134, -4.41361722124429"
2853,Brasserie Saint Vincent,restaurant,french,,,,,Vannes,56260,Morbihan,56,"47.6544383984027, -2.75784131619869"
2862,Les Planches,restaurant,french,,,,,Quimper,29232,Finistère,29,"47.9949105509396, -4.09848783677157"
2887,Cook'in Café,restaurant,,,,,,Saint-Malo,35288,Ille-et-Vilaine,35,"48.6435628196661, -2.00878700704149"
2891,La Cabane,bar,,,,,,Fouesnant,29058,Finistère,29,"47.8614854883858, -3.98714305410977"
2893,Bar des Sports - Tabac,bar,,,,,,Lanmeur,29113,Finistère,29,"48.646713660888, -3.71668493878127"
2938,L'Igloo,ice_cream,,,,,,Arzon,56005,Morbihan,56,"47.5448195334234, -2.88993290177655"
3013,Istanbul Kebab,fast_food,kebab,,,,,Rosporden,29241,Finistère,29,"47.9587373581469, -3.82830883881874"
3054,Chez Momo et Tino,fast_food,,,,,,Guingamp,22070,Côtes-d'Armor,22,"48.5611145643759, -3.1501816075826"
3057,Le Commerce,cafe,,,,,,Morlaix,29151,Finistère,29,"48.5787788385809, -3.82886983959816"
3145,Charly Bristro,restaurant,french,+33 6 36 81 55 56,,,,Rochefort-en-Terre,56196,Morbihan,56,"47.6990758884771, -2.33645622157596"
3166,Les Vénètes,restaurant,"regional,seafood",,,,,Arradon,56003,Morbihan,56,"47.6144001424186, -2.8307698249595"
3167,Domino's,fast_food,pizza,+33 2 23 05 55 55,https://www.dominos.fr/magasin/guichen_35580,,,Guichen,35126,Ille-et-Vilaine,35,"47.9682638940177, -1.79849762927276"
3234,Chao Asia,restaurant,asian,,,,,Locmiquélic,56118,Morbihan,56,"47.7235671389979, -3.3419804231315"
3268,L'Esprit De Famille - Le Bistrot,restaurant,,,,,,Penmarch,29158,Finistère,29,"47.7971581533856, -4.3561954009925"
3282,Le Guichet,restaurant,"french,burger,pizza",+33 2 99 57 31 16,https://www.facebook.com/leguichetguichen,,,Guichen,35126,Ille-et-Vilaine,35,"47.9718025658995, -1.79442737709172"
3286,La Table de Jean,restaurant,,,,,,Saint-Cast-le-Guildo,22282,Côtes-d'Armor,22,"48.6343588194293, -2.25673987998715"
3310,La Petite Bretonne,restaurant,regional,,,,,Piré-Chancé,35220,Ille-et-Vilaine,35,"48.0099037640602, -1.42866777705163"
3336,Un Brin de Bretagne,restaurant,,+33 2 99 43 70 02,,,,Bain-de-Bretagne,35012,Ille-et-Vilaine,35,"47.8412512388489, -1.67997022614352"
3338,Angkor,restaurant,asian,+33 2 99 94 26 50,,,,Fougères,35115,Ille-et-Vilaine,35,"48.3495626205322, -1.20197451185817"
3340,Le P'tit Ergué,bar,,,,,,Quimper,29232,Finistère,29,"47.9829177238789, -4.07219430943044"
3344,Le QG,restaurant,,+33 2 23 51 02 52,,,,Fougères,35115,Ille-et-Vilaine,35,"48.3570385237917, -1.20426226851035"
3356,Le Derby,cafe,,,,,,Saint-Malo,35288,Ille-et-Vilaine,35,"48.6561448945198, -2.00238113754114"
3357,Les Saveurs d'Étel,ice_cream,,,,,,Étel,56055,Morbihan,56,"47.6563782222542, -3.20682097717312"
3367,Auprès de ma blonde,bar,,+33 2 99 37 95 27,,,,Châteaugiron,35069,Ille-et-Vilaine,35,"48.0398884301019, -1.51593571048559"
3392,Auberge du Chemin de Fer,restaurant,,,https://www.aubergeduchemindefer.fr,,,Lanester,56098,Morbihan,56,"47.7592667542613, -3.34604237722843"
3396,Bar - Tabac La Gitane,pub,,,,,,Plouescat,29185,Finistère,29,"48.6567803265994, -4.17579781777829"
3456,Le Saint-Yves,bar,,,,,,Bourg-Blanc,29015,Finistère,29,"48.4989296438268, -4.50544943623234"
3460,Le Welcome,pub,,,,,,Saint-Avé,56206,Morbihan,56,"47.6905437815988, -2.73718780386494"
3469,Goutu,restaurant,,,https://www.goutubinic.com/,,,Binic-Étables-sur-Mer,22055,Côtes-d'Armor,22,"48.6015397290105, -2.82465313111865"
3523,Aux Vieux Gréements,restaurant,"regional,crepe",,,,,Paimpol,22162,Côtes-d'Armor,22,"48.7796995955345, -3.0427136227766"
3575,Tredici,restaurant,pizza,,https://tredici.fr/,,,Saint-Quay-Portrieux,22325,Côtes-d'Armor,22,"48.6541636640667, -2.83572470320149"
3637,Nori Giri レンヌ,fast_food,onigiri,,,,,Rennes,35238,Ille-et-Vilaine,35,"48.1142378390887, -1.67988414399792"
3653,Les Malts Fêteurs,restaurant,"burger,steak,french",+33 2 21 68 66 10,https://www.lesmaltsfeteurs.com,,,Noyal-sur-Vilaine,35207,Ille-et-Vilaine,35,"48.104648355125, -1.52386700254451"
3676,Summer Café,cafe,,,,,,Locmariaquer,56116,Morbihan,56,"47.5690524536883, -2.94483570866757"
3689,Crêperie Roud an Avel,restaurant,french,+33229632162,,,,Plounéour-Brignogan-plages,29021,Finistère,29,"48.6509906946204, -4.31794215510826"
3733,Chez Monique,bar,,,,,,Locminé,56117,Morbihan,56,"47.8867167771378, -2.83596861658384"
3781,Le Casino,cafe,,,,,,Montauban-de-Bretagne,35184,Ille-et-Vilaine,35,"48.2287631349097, -2.05850560681969"
3796,Tacos Avenue,fast_food,french_tacos,,,,,Saint-Brieuc,22278,Côtes-d'Armor,22,"48.5116814522198, -2.76103473748876"
3797,Le GAM,restaurant,,+33 7 86 78 55 53,https://restolegam.wixsite.com/legam,,,Lannilis,29117,Finistère,29,"48.5694432424643, -4.52114957906664"
3824,The Med’s döner,restaurant,turkish,+33 2 29 62 28 16,https://www.instagram.com/themedsdoner/,,,Brest,29019,Finistère,29,"48.3981897288791, -4.47435567676277"
3825,Le Forban,restaurant,,+33297608978,https://www.le-forban-restaurant-monterblanc.fr/,,,Monterblanc,56137,Morbihan,56,"47.7411292378032, -2.71726393620247"
3848,La Boite à pizz',restaurant,pizza,+33 2 99 95 98 12,,,,Louvigné-du-Désert,35162,Ille-et-Vilaine,35,"48.4813026690909, -1.12301413411657"
3874,La Grange,pub,"burger,pizza",+33299039026,https://www.facebook.com/La-Grange-Guichen-101490431269932/,,,Guichen,35126,Ille-et-Vilaine,35,"47.9736694671934, -1.81250311892347"
3883,Le Jardin de Tirpen,restaurant,,,,,,Malestroit,56124,Morbihan,56,"47.8016159847694, -2.40073041531014"
3919,Pokaii,fast_food,hawaiian,,,,,Landerneau,29103,Finistère,29,"48.450802180728, -4.25100637184036"
3924,Beurre Sucre,restaurant,crepe,+33960458331,,,,Beaussais-sur-Mer,22209,Côtes-d'Armor,22,"48.5803090388242, -2.14079586323501"
3925,Bubble Ramen,cafe,,,,,,Rennes,35238,Ille-et-Vilaine,35,"48.1085749414856, -1.67839593708948"
3930,La Table de la Butte,restaurant,,,,,1.0,Plouider,29198,Finistère,29,"48.6111245191085, -4.29792751143441"
3988,La Tour,restaurant,,+33 6 88 00 67 95,https://laglaciere-penmarch.fr/la-tour-penmarch,,,Penmarch,29158,Finistère,29,"47.817871596327, -4.37774410058518"
